CB,Localisation,Cote,Sous-localisation,Type de document,Titre,Auteur,Editeur,Date de publication,Date de création
*880861707302*,AUSTFORM,FP 020 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires français,Éd. du Cercle de la librairie,2003,30/07/2007
*880861711333*,AUSTSOCI,020 HIS/1,,DOA,Histoire des bibliothèques françaises,sous la direction d'André Vernet,Promodis - Editions du Cercle de la librairie,impr. 1989,12/07/2007
*880861712567*,AUSTFORM,FP 020 HIS/4,,FORM,Histoire des bibliothèques françaises,"sous la dir. de Martine Poulain,...",Promodis-Éd. du Cercle de la librairie,impr. 1992,30/07/2007
*880861712580*,AUSTFORM,FP 020 HIS/2,,FORM,Histoire des bibliothèques françaises,"sous la dir. de Claude Jolly,...",Promodis-Éd. du Cercle de la Librairie,impr. 1988,30/07/2007
*880861716618*,AUSTALSA,A 070 JOM,,DVDAD,"L'Ill aux livres, notes d'un voyage dans la Bibliothèque Nationale et Universitaire de Strasbourg",Réalisé par Alain Jomy,Le meilleur des mondes productions,2004,25/10/2007
*880861740693*,AUSTFORM,FP 020 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires français,Éd. du Cercle de la librairie,2003,11/09/2007
*880861758209*,AUSTFORM,FP 025 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires français,Éd. du Cercle de la librairie,2003,05/11/2007
*880861760699*,AUSTFORM,FP 026 CUL,,FORM,Culture et handicap,"Ministère de la culture et de la communication, [Commission nationale Culture-handicap]",Ministère de la culture et de la communication,2007,13/11/2007
*880861760843*,AUSTFORM,FP 025 BIB,,FORM,"Bibliothécaire, quel métier ?",sous la dir. de Bertrand Calenge,Éd. du Cercle de la librairie,2004,08/11/2007
*880861797753*,AUSTALSA,A 070 FON,,DOA,Le fonds Nathan Katz à la Bibliothèque nationale et universitaire de Strasbourg,,Bibliothèque nationale et universitaire de Strasbourg,2004,27/03/2009
*88086188918X*,AUSTPAT,028 ALE,TPAT,ORA,Les métamorphoses du lecteur,sous la dir. de Christian Jacob,Bibliothèque nationale de France,2002,25/07/2009
*880861961747*,AUSTFORM,FP 010 DIC,,FORM,Dictionnaire de l'information,directeur du comité de rédaction Serge Cacaly,A. Colin,2008,20/11/2008
*880861970643*,AUSTFORM,FP 384.3 CAT B,,FORM,"Bibliothécaire adjoint spécialisé, BAS","Valérie Caron, Laurent Dierckens",Vuibert,2007,04/12/2008
*88086199657X*,AUSTPAT,017 FON,UPAT,ORA,Le fonds Nathan Katz à la Bibliothèque nationale et universitaire de Strasbourg,,Bibliothèque nationale et universitaire de Strasbourg,2004,26/06/2009
*880862017499*,AUSTSOCI,020 WEI,,DOA,La magie des grimoires,Nicolas Weill-Parot,Transboréal,2009,06/10/2010
*880862045221*,AUSTFORM,FP 020 INT,,FORM,Introduction aux sciences de l'information,sous la direction de Jean-Michel Salaün et de Clément Arsenault,Les Presses universitaires de Montréal,2009,25/11/2010
,,,,,,,La Découverte,,
*880862045413*,AUSTFORM,FP 020 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2010,18/11/2010
*880862045425*,AUSTFORM,FP 025 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2010,18/11/2010
*880862045450*,AUSTFORM,FP 027 PAP,,FORM,Technodocumentation,Fabrice Papy,Hermès science publications-Lavoisier,2009,25/11/2010
*880862050106*,AUSTFORM,FP 384.3 COM,,FORM,"Bibliothécaire adjoint spécialisé, BAS","Valérie Caron, Laurent Dierckens",Vuibert,2010,25/11/2010
*880862050118*,AUSTFORM,FP 384.3 COM,,FORM,"Bibliothécaire adjoint spécialisé, BAS","Valérie Caron, Laurent Dierckens",Vuibert,2010,25/11/2010
*880862074965*,AUSTPAT,028 RIC,TPAT,ORA,Les manufacturiers et la lecture,Richter,Société d'histoire de la lecture,2000,09/08/2011
*880862094653*,AUSTFORM,FP 027 MAN,,FORM,Manuel de la numérisation,sous la direction de Thierry Claerr et Isabelle Westeel,Éd. du Cercle de la librairie,2011,10/06/2011
*880862164367*,AUSTSOCI,020 MET,,DOA,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2010,16/06/2010
*880862166853*,AUSTSOCI,384.3 COM,,DOA,Assistant territorial (qualifié) de conservation du patrimoine et des bibliothèques,"Jean-Yves Thiébault, Françoise Thiébault-Roger",Vuibert,2010,07/05/2010
*880862180111*,AUSTFORM,FP 025 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2010,01/07/2010
*880862180123*,AUSTFORM,FP 020 MET,,FORM,Le métier de bibliothécaire,Association des bibliothécaires de France,Éd. du Cercle de la librairie,2010,01/07/2010
*880862180135*,AUSTFORM,FP 027 NUM,,FORM,Numériser et mettre en ligne,sous la direction de Thierry Claerr et Isabelle Westeel,Presses de l'ENSSIB,2010,22/07/2010
*880862304361*,AUSTPAT,027 FAV,TPAT,ORA,La mémoire de l'État,Lucie Favier,Fayard,2004,01/12/2010
*880862350535*,AUSTFORM,FP 020 VAL,,FORM,La valorisation des archives,"édition Françoise Hiraux, Françoise Mirguet",Editions Academia,2012,26/04/2013
*880862364728*,AUSTPAT,027 IMA,TPAT,ORA,Imaginaire de la bibliothèque,[Bibliothèque nationale de France],Bibliothèque nationale de France,impr. 2003,28/10/2014
*880862465728*,AUSTFORM,FP 010 COR,,FORM,Dictionnaire d'initiation à l'info-com,"Laurence Corroy,... Jacques Gonnet,...",Vuibert,2008,04/11/2009
*880862526012*,AUSTSOCI,020 BON,,DOA,Des bibliothèques pleines de fantômes,Jacques Bonnet,Denoel,2008,21/04/2009
*880862727349*,AUSTFORM,FP 384.3 CAT B,,FORM,Assistant territorial (qualifié) de conservation du patrimoine et des bibliothèques,"Jean-Yves Thiébault, Françoise Thiébault-Roger",Vuibert,2010,02/09/2010
